City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.88,147.33,69.26,59,75,3.0,broken clouds
1,Qaanaaq,GL,77.48,-69.36,20.95,84,100,5.32,overcast clouds
2,Port Elizabeth,ZA,-33.92,25.57,64.09,100,40,12.66,scattered clouds
3,Avarua,CK,-21.21,-159.78,82.45,78,20,6.91,light rain
4,Thompson,CA,55.74,-97.86,-20.04,76,1,8.05,clear sky
5,Port Lincoln,AU,-34.73,135.87,66.47,55,12,1.07,few clouds
6,Vaini,TO,-21.20,-175.20,84.36,84,20,12.66,few clouds
7,Cape Town,ZA,-33.93,18.42,61.21,88,75,1.01,light intensity drizzle
8,Los Altos,US,37.39,-122.11,64.33,73,1,1.01,haze
9,Ushuaia,AR,-54.80,-68.30,46.06,61,75,27.63,broken clouds
10,Albany,US,42.60,-73.97,38.57,60,98,4.47,overcast clouds
11,Tuktoyaktuk,CA,69.45,-133.04,-16.6,69,1,9.22,clear sky
12,Paamiut,GL,61.99,-49.67,25.5,63,100,19.73,light snow
13,East London,ZA,-33.02,27.91,68.54,92,100,2.75,overcast clouds
14,Rikitea,PF,-23.12,-134.97,76.69,73,87,6.26,overcast clouds
15,Cherskiy,RU,68.75,161.30,-37.68,97,90,3.13,overcast clouds
16,Levelland,US,33.59,-102.38,67.05,17,0,12.8,clear sky
17,Hermanus,ZA,-34.42,19.23,60.91,95,100,11.01,light rain
18,Puerto Ayora,EC,-0.74,-90.35,68.49,87,42,10.22,scattered clouds
19,Mitu,CO,1.20,-70.17,74.08,91,77,1.21,broken clouds
20,Saskylakh,RU,71.92,114.08,-34.64,99,99,4.79,overcast clouds
21,Tasiilaq,GL,65.61,-37.64,29.34,92,97,20.2,light snow
22,Port Hawkesbury,CA,45.62,-61.35,30.18,76,64,5.99,broken clouds
23,San Quintin,MX,30.48,-115.95,62.26,77,0,13.27,clear sky
24,Silver City,US,32.77,-108.28,57.63,29,75,7.0,broken clouds
25,Bluff,NZ,-46.60,168.33,55.8,52,57,17.31,broken clouds
26,Te Anau,NZ,-45.42,167.72,50.72,67,80,5.77,broken clouds
27,Gat,IL,31.61,34.76,61.39,50,24,8.14,few clouds
28,Yellowknife,CA,62.46,-114.35,-19.59,82,1,4.61,clear sky
29,Chapais,CA,49.78,-74.85,-0.62,98,95,4.05,overcast clouds
30,Kapaa,US,22.08,-159.32,79.12,67,40,3.0,light rain
31,Kodiak,US,57.79,-152.41,33.31,80,90,12.66,light snow
32,Rajmahal,IN,25.05,87.83,66.13,75,80,4.83,broken clouds
33,Busselton,AU,-33.65,115.33,62.04,63,72,17.67,broken clouds
34,Barrow,US,71.29,-156.79,12.22,79,90,17.27,overcast clouds
35,Punta Arenas,CL,-53.15,-70.92,51.91,46,75,16.11,broken clouds
36,Sitka,US,57.05,-135.33,35.49,75,90,4.61,light snow
37,Caravelas,BR,-17.71,-39.25,74.17,88,0,4.94,clear sky
38,Castro,BR,-24.79,-50.01,63.75,86,98,0.72,overcast clouds
39,Nikolskoye,RU,59.70,30.79,-1.61,97,8,4.45,clear sky
40,Iquitos,PE,-3.75,-73.25,77.04,94,75,1.14,broken clouds
41,Guerrero Negro,MX,27.98,-114.06,65.28,75,1,16.73,clear sky
42,Kaitangata,NZ,-46.28,169.85,54.93,56,89,7.9,overcast clouds
43,Presidente Dutra,BR,-5.29,-44.49,75.74,88,57,2.21,broken clouds
44,Port Alfred,ZA,-33.59,26.89,67.95,94,77,12.73,broken clouds
45,Klaksvik,FO,62.23,-6.59,38.32,65,100,21.63,overcast clouds
46,Valparaiso,CL,-33.04,-71.63,63.48,87,90,3.44,mist
47,Pisco,PE,-13.70,-76.22,67.01,88,75,16.11,broken clouds
48,Geraldton,AU,-28.77,114.60,81.12,34,0,18.41,clear sky
49,Longyearbyen,SJ,78.22,15.64,17.44,73,75,9.22,light snow
50,Ialibu,PG,-6.28,143.99,66.83,55,100,5.48,overcast clouds
51,Pacific Grove,US,36.62,-121.92,65.8,85,40,1.01,scattered clouds
52,Cidreira,BR,-30.18,-50.21,69.48,87,72,13.56,broken clouds
53,Iqaluit,CA,63.75,-68.51,10.13,72,90,17.0,light snow
54,Fairbanks,US,64.84,-147.72,11.91,78,90,0.0,overcast clouds
55,Bozuyuk,TR,39.91,30.04,46.69,70,39,12.37,scattered clouds
56,Hami,CN,42.80,93.45,28.47,53,81,2.8,broken clouds
57,Saint-Philippe,RE,-21.36,55.77,76.55,78,37,11.01,scattered clouds
58,Galle,LK,6.04,80.22,77.02,85,39,2.8,scattered clouds
59,Chokurdakh,RU,70.63,147.92,-42.57,99,53,6.06,broken clouds
60,Talnakh,RU,69.49,88.40,-16.8,99,100,13.53,snow
61,Cayenne,GF,4.93,-52.33,78.1,90,90,1.99,overcast clouds
62,Kawalu,ID,-7.38,108.21,76.23,86,100,1.5,light rain
63,Havelock,US,34.88,-76.90,60.78,85,47,1.01,scattered clouds
64,Carnarvon,AU,-24.87,113.63,77.07,69,0,19.57,clear sky
65,Ribeira Grande,PT,38.52,-28.70,64.02,72,96,9.13,overcast clouds
66,Verkhnyaya Inta,RU,65.98,60.31,0.5,96,99,10.8,light snow
67,Ciudad Del Maiz,MX,22.40,-99.60,61.88,87,100,3.18,overcast clouds
68,Vienna,AT,48.21,16.37,39.07,88,75,1.99,light rain
69,Atuona,PF,-9.80,-139.03,78.84,74,8,18.32,clear sky
70,Srisailam,IN,16.08,78.87,67.28,72,24,2.71,few clouds
71,Juneau,US,58.30,-134.42,28.45,93,90,5.75,light snow
72,Mataura,NZ,-46.19,168.86,55.47,44,87,7.25,overcast clouds
73,Lakes Entrance,AU,-37.88,147.98,78.17,51,100,9.28,overcast clouds
74,Pangai,TO,-19.80,-174.35,82.51,65,40,18.41,scattered clouds
75,Labuhan,ID,-6.88,112.21,80.04,77,100,6.98,moderate rain
76,New Norfolk,AU,-42.78,147.06,67.91,51,89,8.34,overcast clouds
77,Husavik,IS,66.04,-17.34,42.71,80,100,25.81,moderate rain
78,Severo-Kurilsk,RU,50.68,156.12,32.56,81,98,16.51,light snow
79,Nushki,PK,29.55,66.02,44.96,42,0,2.33,clear sky
80,Whyalla,AU,-33.03,137.58,69.69,64,90,8.05,overcast clouds
81,Dikson,RU,73.51,80.55,-6.56,96,100,9.71,overcast clouds
82,Salalah,OM,17.02,54.09,75.29,33,0,11.5,clear sky
83,Sola,VU,-13.88,167.55,84.87,79,75,3.44,broken clouds
84,Lavrentiya,RU,65.58,-171.00,29.23,97,100,18.39,snow
85,Georgetown,MY,5.41,100.34,78.89,81,20,1.99,few clouds
86,Mahebourg,MU,-20.41,57.70,77.29,78,40,6.91,light rain
87,Trebnje,SI,45.90,15.02,36.88,99,100,2.04,overcast clouds
88,Arraial Do Cabo,BR,-22.97,-42.03,74.37,87,81,20.67,broken clouds
89,Talara,PE,-4.58,-81.27,66.43,88,100,16.02,overcast clouds
90,Norman Wells,CA,65.28,-126.83,-27.36,62,75,0.0,broken clouds
91,Kaya,BF,13.09,-1.08,74.73,13,2,7.87,clear sky
92,Butaritari,KI,3.07,172.79,80.98,81,94,12.75,moderate rain
93,Rocha,UY,-34.48,-54.33,59.77,97,29,3.27,scattered clouds
94,Enterprise,US,36.03,-115.24,73.94,15,20,5.99,few clouds
95,Kalemie,CD,-5.95,29.19,72.1,82,100,3.2,overcast clouds
96,Chaiyaphum,TH,15.75,102.00,68.81,63,42,9.42,scattered clouds
97,Tiksi,RU,71.69,128.87,-15.97,94,100,6.71,overcast clouds
98,Chuka,KE,-0.33,37.65,59.27,92,74,2.55,broken clouds
99,Auki,SB,-8.77,160.70,79.11,89,100,12.64,overcast clouds
100,Rabo De Peixe,PT,37.80,-25.58,62.28,96,75,4.61,broken clouds
101,Vesyegonsk,RU,58.66,37.26,0.34,93,89,5.53,overcast clouds
102,Octeville,FR,49.63,-1.64,46.92,76,90,10.36,overcast clouds
103,Hodal,IN,27.90,77.37,70.68,56,84,3.6,broken clouds
104,Tazmalt,DZ,36.39,4.40,44.83,76,38,15.52,scattered clouds
105,Anshun,CN,26.25,105.93,48.9,79,100,1.23,overcast clouds
106,Upernavik,GL,72.79,-56.15,25.9,75,100,5.88,overcast clouds
107,Rio Gallegos,AR,-51.62,-69.22,57.25,33,0,12.66,clear sky
108,Giddalur,IN,15.35,78.92,70.36,78,5,2.35,clear sky
109,Vila,PT,42.03,-8.16,42.33,84,81,2.28,broken clouds
110,Remiremont,FR,48.02,6.59,33.08,99,91,1.39,overcast clouds
111,Yarada,IN,17.65,83.27,77.32,78,75,2.3,mist
112,Viedma,AR,-40.81,-63.00,67.39,34,0,14.54,clear sky
113,Berlevag,NO,70.86,29.09,22.48,92,88,27.72,light snow
114,Pundaguitan,PH,6.37,126.17,80.96,78,90,11.48,overcast clouds
115,Chuy,UY,-33.70,-53.46,63.88,88,100,6.31,overcast clouds
116,Araouane,ML,18.90,-3.53,61.23,15,91,9.98,overcast clouds
117,Hervey Bay,AU,-25.30,152.85,85.03,85,24,3.0,light rain
118,Airai,TL,-8.93,125.41,68.88,77,97,1.01,overcast clouds
119,Victoria,HK,22.29,114.16,64.33,55,89,1.01,overcast clouds
120,Bredasdorp,ZA,-34.53,20.04,59.29,94,100,10.0,moderate rain
121,Bengkulu,ID,-3.80,102.27,78.15,84,100,7.16,overcast clouds
122,Amalner,IN,21.05,75.07,68.77,58,4,3.69,clear sky
123,Ostrovnoy,RU,68.05,39.51,10.45,74,88,23.42,overcast clouds
124,Katsuura,JP,35.13,140.30,51.19,73,100,9.73,overcast clouds
125,Pingliang,CN,35.54,106.69,34.9,34,3,2.39,clear sky
126,Beringovskiy,RU,63.05,179.32,7.23,81,100,34.34,overcast clouds
127,Yar-Sale,RU,66.83,70.83,-14.26,91,51,14.81,broken clouds
128,Grindavik,IS,63.84,-22.43,37.87,93,90,13.8,overcast clouds
129,Malvern,US,34.36,-92.81,70.95,83,89,11.21,overcast clouds
130,Merritt,CA,50.11,-120.79,23.83,77,100,1.52,overcast clouds
131,Belmonte,BR,-15.86,-38.88,75.7,84,0,4.54,clear sky
132,Sri Aman,MY,1.24,111.46,75.25,94,40,0.0,scattered clouds
133,Provideniya,RU,64.38,-173.30,28.51,86,90,8.95,snow
134,Bay Saint Louis,US,30.31,-89.33,69.89,91,1,8.05,clear sky
135,Chicla,PE,-11.71,-76.27,42.98,96,100,1.79,overcast clouds
136,Samarai,PG,-10.62,150.67,84.07,72,100,9.98,overcast clouds
137,Bar Harbor,US,44.39,-68.20,31.91,64,1,3.44,clear sky
138,Chandia,IN,23.65,80.70,58.08,77,0,3.18,clear sky
139,Niamey,NE,13.51,2.11,75.49,17,3,4.61,clear sky
140,Fortuna,US,40.60,-124.16,53.42,73,90,0.0,overcast clouds
141,Vostok,RU,46.49,135.88,29.55,92,100,6.73,overcast clouds
142,San Patricio,US,28.02,-97.52,76.98,87,100,13.6,overcast clouds
143,Ca Mau,VN,9.18,105.15,72.79,79,100,8.63,overcast clouds
144,Codrington,AU,-38.27,141.97,77.23,32,100,11.3,overcast clouds
145,Nabire,ID,-3.37,135.48,87.51,61,100,6.29,overcast clouds
146,Quelimane,MZ,-17.88,36.89,80.55,83,0,11.5,clear sky
147,Bubaque,GW,11.28,-15.83,81.34,67,84,10.89,broken clouds
148,Saint-Joseph,RE,-21.37,55.62,75.56,77,18,11.03,few clouds
149,Jamestown,US,42.10,-79.24,45.99,51,100,11.99,overcast clouds
150,Nelson Bay,AU,-32.72,152.15,74.28,64,100,9.26,overcast clouds
151,Grand Gaube,MU,-20.01,57.66,77.4,72,77,5.01,broken clouds
152,Ulaanbaatar,MN,47.91,106.88,11.75,76,8,5.39,clear sky
153,Vanimo,PG,-2.67,141.30,86.41,66,76,2.75,broken clouds
154,Vila Franca Do Campo,PT,37.72,-25.43,63.19,84,30,2.86,scattered clouds
155,Itarema,BR,-2.92,-39.92,81.14,81,8,16.67,clear sky
156,Dire Dawa,ET,9.59,41.87,62.15,59,0,2.53,clear sky
157,Kruisfontein,ZA,-34.00,24.73,61.88,94,47,12.15,scattered clouds
158,Peniche,PT,39.36,-9.38,54.28,73,18,16.71,few clouds
159,Kutum,SD,14.20,24.67,61.32,23,0,5.82,clear sky
160,Khatanga,RU,71.97,102.50,-17.64,99,100,6.53,overcast clouds
161,Emerald,AU,-23.53,148.17,81.34,65,90,10.36,moderate rain
162,Faanui,PF,-16.48,-151.75,81.34,67,6,13.82,clear sky
163,Jasper,US,37.20,-94.35,67.53,72,40,10.36,scattered clouds
164,Bethel,US,41.37,-73.41,44.55,60,90,1.01,overcast clouds
165,Yenagoa,NG,4.92,6.26,77.47,91,100,3.53,overcast clouds
166,Bambanglipuro,ID,-7.95,110.28,68.61,81,99,2.75,overcast clouds
167,College,US,64.86,-147.80,11.89,78,90,0.0,overcast clouds
168,Ponta Do Sol,PT,32.67,-17.10,65.03,67,6,9.53,clear sky
169,Shimoda,JP,34.67,138.95,55.51,81,100,16.58,overcast clouds
170,Zhanaozen,KZ,43.30,52.80,36.34,68,43,9.98,scattered clouds
171,Ugoofaaru,MV,5.67,73.00,82.24,72,6,9.35,clear sky
172,Broome,US,42.25,-75.83,42.82,56,90,3.0,overcast clouds
173,Yulara,AU,-25.24,130.99,78.64,44,0,14.97,clear sky
174,Hue,VN,16.47,107.60,66.31,77,75,6.91,broken clouds
175,Wanning,CN,18.80,110.40,67.46,59,100,11.14,overcast clouds
176,Nadym,RU,65.53,72.52,-24.68,99,6,8.72,clear sky
177,Flinders,AU,-34.58,150.86,72.18,66,100,6.53,light rain
178,Hilo,US,19.73,-155.09,73.13,96,90,6.91,mist
179,Mirabad,AF,30.44,61.84,51.21,50,27,6.42,scattered clouds
180,Kieta,PG,-6.22,155.63,83.89,73,100,2.73,light rain
181,Amalapuram,IN,16.58,82.02,77.38,96,16,3.47,few clouds
182,Chara,RU,56.91,118.26,1.15,79,99,2.86,overcast clouds
183,Sao Filipe,CV,14.90,-24.50,75.29,74,14,10.56,few clouds
184,Eureka,US,40.80,-124.16,52.41,82,97,5.19,overcast clouds
185,Kamina,CD,-8.74,24.99,62.26,97,100,2.46,light rain
186,La Ronge,CA,55.10,-105.28,-12.75,77,1,4.61,clear sky
187,Santa Cruz,BO,-17.80,-63.17,78.26,78,75,6.91,broken clouds
188,Souillac,MU,-20.52,57.52,77.38,78,40,6.91,scattered clouds
189,La Asuncion,VE,11.03,-63.86,80.33,83,59,17.27,broken clouds
190,Venado Tuerto,AR,-33.75,-61.97,65.77,72,0,4.68,clear sky
191,Krasnoarmeysk,RU,51.02,45.70,23.29,86,100,10.94,overcast clouds
192,Nome,US,64.50,-165.41,31.15,93,90,28.77,snow
193,Jiangyou,CN,31.77,104.72,51.28,63,86,3.98,overcast clouds
194,Kyshtovka,RU,56.55,76.63,27.9,95,100,9.51,overcast clouds
195,Charlestown,AU,-32.95,151.67,73.22,62,100,3.0,overcast clouds
196,Puerto Escondido,MX,15.85,-97.07,83.23,65,20,5.75,few clouds
197,Vila Do Maio,CV,15.13,-23.22,72.39,77,48,17.58,scattered clouds
198,Walvis Bay,NA,-22.96,14.51,58.15,82,0,2.3,clear sky
199,Sindou,BF,10.67,-5.17,75.99,15,0,5.95,clear sky
200,Atikokan,CA,48.76,-91.62,23.05,95,100,10.25,snow
201,Saldanha,ZA,-33.01,17.94,60.85,90,100,16.46,overcast clouds
202,Esperance,AU,-33.87,121.90,67.84,67,98,12.91,overcast clouds
203,Mar Del Plata,AR,-38.00,-57.56,63.88,80,0,15.01,clear sky
204,Kargasok,RU,59.06,80.86,29.97,97,100,9.08,light snow
205,Okha,RU,53.57,142.95,15.1,88,62,6.96,broken clouds
206,Killybegs,IE,54.63,-8.45,42.73,87,100,21.81,light rain
207,Zhangye,CN,38.93,100.45,30.45,36,0,5.39,clear sky
208,Cabo San Lucas,MX,22.89,-109.91,79.11,60,40,5.75,scattered clouds
209,Lebu,CL,-37.62,-73.65,56.82,85,0,12.97,clear sky
210,Caramay,PH,10.18,119.24,81.91,69,19,12.77,few clouds
211,North Myrtle Beach,US,33.82,-78.68,61.11,93,90,3.44,overcast clouds
212,Goryachegorsk,RU,55.41,88.92,29.35,80,100,9.89,overcast clouds
213,Kerman,IR,30.28,57.08,52.43,16,40,1.48,scattered clouds
214,Ahmadpur East,PK,29.14,71.26,59.86,28,0,7.54,clear sky
215,Honiara,SB,-9.43,159.95,82.9,82,100,8.81,overcast clouds
216,Soe,ID,-9.86,124.28,78.53,65,100,2.77,overcast clouds
217,Clovis,US,36.83,-119.70,64.69,90,90,3.44,mist
218,Namibe,AO,-15.20,12.15,71.71,64,12,3.96,few clouds
219,San Cristobal,VE,7.77,-72.22,75.38,82,100,1.79,overcast clouds
220,Srednekolymsk,RU,67.45,153.68,-48.23,99,86,4.83,overcast clouds
221,Freeport,US,40.66,-73.58,47.32,56,90,7.0,overcast clouds
222,Camacha,PT,33.08,-16.33,61.56,67,75,14.97,broken clouds
223,Manjacaze,MZ,-24.71,33.88,76.39,67,98,7.76,overcast clouds
224,Porto Velho,BR,-8.76,-63.90,78.85,94,40,2.3,moderate rain
225,Novolabinskaya,RU,45.11,39.89,42.15,91,96,2.1,overcast clouds
226,Pevek,RU,69.70,170.31,-9.4,96,100,16.8,light snow
227,Lingao,CN,19.91,109.69,67.77,48,38,13.06,scattered clouds
228,Lufilufi,WS,-13.87,-171.60,83.79,76,13,11.59,few clouds
229,Garowe,SO,8.41,48.48,66.61,74,5,8.79,clear sky
230,Port Blair,IN,11.67,92.75,79.18,69,56,10.87,broken clouds
231,Nantucket,US,41.28,-70.10,43.14,60,1,5.75,clear sky
232,Umm Lajj,SA,25.02,37.27,72.37,59,99,11.86,overcast clouds
233,Aklavik,CA,68.22,-135.01,-4.97,89,18,9.19,few clouds
234,Horsham,GB,51.06,-0.33,42.26,89,40,8.05,scattered clouds
235,Ubinskoye,RU,55.31,79.68,23.5,93,100,11.03,overcast clouds
236,Bambous Virieux,MU,-20.34,57.76,77.25,78,40,6.91,light rain
237,Voh,NC,-20.97,164.70,86.94,59,65,2.57,broken clouds
238,Kysyl-Syr,RU,63.90,122.76,-33.05,97,25,5.17,scattered clouds
239,Hithadhoo,MV,-0.60,73.08,81.14,79,100,11.48,overcast clouds
240,Luderitz,NA,-26.65,15.16,60.28,85,0,9.37,clear sky
241,Florida,US,28.75,-82.50,68.02,87,100,5.12,overcast clouds
242,Yerbogachen,RU,61.28,108.01,-26.45,100,72,2.3,broken clouds
243,Hirara,JP,24.80,125.28,71.87,60,20,11.5,few clouds
244,Avera,US,33.19,-82.53,62.26,75,34,6.15,scattered clouds
245,Narsaq,GL,60.92,-46.05,25.02,75,72,9.08,broken clouds
246,Pringsewu,ID,-5.36,104.97,76.57,90,99,1.95,overcast clouds
247,Makakilo City,US,21.35,-158.09,75.52,74,90,6.91,light rain
248,Belleville,CA,44.18,-77.37,36.81,84,90,3.0,snow
249,Pochutla,MX,15.74,-96.47,82.22,80,0,2.51,clear sky
250,Hay River,CA,60.82,-115.80,-16.62,69,1,5.75,clear sky
251,Maneromango,TZ,-7.20,38.78,69.55,98,98,1.34,overcast clouds
252,Shelton,US,41.32,-73.09,46.02,59,75,1.01,broken clouds
253,Hasaki,JP,35.73,140.83,48.6,60,100,12.21,overcast clouds
254,Agadez,NE,19.75,10.25,59.79,23,1,5.35,clear sky
255,Jurm,AF,36.86,70.83,39.67,68,87,3.91,overcast clouds
256,Osa,RU,57.28,55.46,6.53,83,78,7.11,broken clouds
257,Palu,ID,-0.89,119.87,86.41,62,96,3.36,overcast clouds
258,Geeste,DE,52.60,7.27,39.99,100,100,4.61,overcast clouds
259,Cockburn Town,TC,21.46,-71.14,80.44,78,13,21.43,few clouds
260,Bonavista,CA,48.65,-53.11,33.12,61,81,21.47,broken clouds
261,Alvaraes,BR,-3.22,-64.80,74.43,96,91,2.26,moderate rain
262,Kolda,SN,12.88,-14.95,68.31,88,85,0.0,overcast clouds
263,Torbay,CA,47.67,-52.73,32.88,91,90,11.5,light shower snow
264,Filadelfia,US,39.95,-75.16,47.26,68,75,1.01,broken clouds
265,Sawakin,SD,19.11,37.33,81.01,67,14,8.01,few clouds
266,Santa Maria,BR,-29.68,-53.81,74.5,73,20,11.5,few clouds
267,Antalaha,MG,-14.90,50.28,73.47,87,15,5.77,light rain
268,Brattvag,NO,62.60,6.44,36.84,69,20,13.8,few clouds
269,Bandarbeyla,SO,9.49,50.81,75.16,68,4,12.86,clear sky
270,Yinchuan,CN,38.47,106.27,28.81,37,57,5.91,broken clouds
271,Smithfield,US,41.92,-71.55,39.94,71,1,3.44,clear sky
272,Muisne,EC,0.60,-80.03,74.53,85,100,8.95,overcast clouds
273,Paracuru,BR,-3.41,-39.03,83.1,80,84,15.23,broken clouds
274,Linxia,CN,35.60,103.21,27.57,60,4,2.17,clear sky
275,Kavaratti,IN,10.57,72.64,80.71,70,94,12.73,overcast clouds
276,Esso,RU,55.93,158.70,11.07,84,28,10.07,scattered clouds
277,Kloulklubed,PW,7.04,134.26,84.7,77,100,14.99,overcast clouds
278,Ucluelet,CA,48.93,-125.55,41.09,78,100,1.01,overcast clouds
279,Lompoc,US,34.64,-120.46,68.68,80,1,10.36,clear sky
280,Lorengau,PG,-2.02,147.27,86.47,72,97,17.34,moderate rain
281,Alice Springs,AU,-23.70,133.88,80.15,41,0,10.36,clear sky
282,Saint Anthony,US,45.02,-93.22,35.92,67,90,5.01,overcast clouds
283,Erzin,TR,36.96,36.20,46.92,46,0,4.27,clear sky
284,Marawi,PH,8.00,124.29,68.65,83,81,4.43,broken clouds
285,Muros,ES,42.78,-9.06,53.24,94,57,2.28,broken clouds
286,Ahipara,NZ,-35.17,173.17,75.25,63,92,10.76,overcast clouds
287,Cabedelo,BR,-6.98,-34.83,81.27,77,78,16.71,broken clouds
288,Magadan,RU,59.57,150.80,-4.63,89,19,6.8,few clouds
289,Yatou,CN,37.15,122.38,50.47,75,100,6.98,overcast clouds
290,Sabana De Torres,CO,7.39,-73.50,83.01,92,100,3.49,overcast clouds
291,Cap Malheureux,MU,-19.98,57.61,77.49,72,86,3.0,overcast clouds
292,Nuuk,GL,64.18,-51.72,25.88,80,75,21.85,light shower snow
293,Homer,US,59.64,-151.55,35.47,93,90,5.75,light rain
294,Lardos,GR,36.09,28.02,59.95,78,37,2.39,scattered clouds
295,Trairi,BR,-3.28,-39.27,81.37,79,84,13.0,broken clouds
296,Shubarshi,KZ,48.59,57.19,30.45,75,100,7.81,overcast clouds
297,Swan River,CA,52.11,-101.27,-0.51,65,92,6.91,overcast clouds
298,Apatity,RU,67.56,33.40,-1.35,97,100,4.56,overcast clouds
299,Tazovskiy,RU,67.47,78.70,-12.6,88,100,15.39,overcast clouds
300,Bushehr,IR,28.97,50.84,66.85,49,38,7.16,scattered clouds
301,Havoysund,NO,71.00,24.66,29.28,96,100,33.15,light snow
302,Paramonga,PE,-10.67,-77.83,66.29,87,100,8.68,overcast clouds
303,Shieli,KZ,44.17,66.75,39.27,74,100,3.8,overcast clouds
304,Slave Lake,CA,55.28,-114.77,-2.22,65,1,4.61,clear sky
305,Griffith,US,41.53,-87.42,46.4,96,90,3.44,overcast clouds
306,Buala,SB,-8.14,159.59,78.84,88,100,19.22,light rain
307,Dicabisagan,PH,17.08,122.42,74.57,83,81,5.3,broken clouds
308,Kuryk,KZ,43.20,51.65,41.56,66,98,7.56,overcast clouds
309,Bayan,CN,46.08,127.40,19.22,89,14,6.87,few clouds
310,Andenes,NO,69.31,16.12,21.18,79,90,14.97,overcast clouds
311,Coihaique,CL,-45.58,-72.07,62.55,59,40,0.0,scattered clouds
312,Kotido,UG,2.98,34.13,69.58,61,83,8.61,broken clouds
313,North Bend,US,43.41,-124.22,51.71,90,1,3.44,clear sky
314,Dingle,PH,11.00,122.67,79.43,76,48,12.41,scattered clouds
315,Sobolevo,RU,54.43,31.90,23.36,97,100,5.3,overcast clouds
316,Syedove,UA,47.08,38.16,37.0,84,100,0.43,overcast clouds
317,Paita,PE,-5.09,-81.11,66.72,84,100,14.34,overcast clouds
318,Tautira,PF,-17.73,-149.15,86.02,73,99,17.9,overcast clouds
319,Mount Isa,AU,-20.73,139.50,82.17,51,89,14.97,overcast clouds
320,Sabang,ID,5.89,95.32,81.41,74,77,15.28,broken clouds
321,Sibolga,ID,1.74,98.78,78.69,79,71,1.36,broken clouds
322,San Vicente,AR,-26.62,-54.13,71.47,60,28,2.66,scattered clouds
323,Kimbe,PG,-5.55,150.14,89.74,59,100,4.92,overcast clouds
324,Opuwo,NA,-18.06,13.84,66.54,25,5,3.69,clear sky
325,Kirensk,RU,57.79,108.11,20.23,96,100,4.41,light snow
326,Sao Jose Da Coroa Grande,BR,-8.90,-35.15,78.04,84,22,10.94,few clouds
327,Lincoln,US,40.80,-96.67,47.64,36,1,5.01,clear sky
328,Porosozero,RU,62.72,32.73,11.28,93,56,7.18,broken clouds
329,Bilibino,RU,68.05,166.44,-18.58,99,100,2.75,light snow
330,Cape Coast,GH,5.11,-1.25,80.06,85,10,8.46,clear sky
331,Pangnirtung,CA,66.15,-65.71,4.64,98,100,6.69,light snow
332,Mount Gambier,AU,-37.83,140.77,75.11,31,27,10.36,scattered clouds
333,Grand-Santi,GF,4.25,-54.38,73.17,99,100,2.37,overcast clouds
334,Marsa Matruh,EG,31.35,27.25,61.0,82,40,9.22,scattered clouds
335,Three Hills,CA,51.70,-113.27,3.18,77,72,3.44,broken clouds
336,Iberia,US,29.95,-91.75,69.87,88,1,6.91,clear sky
337,Longyan,CN,25.11,117.02,56.82,62,0,3.8,clear sky
338,Chabahar,IR,25.29,60.64,71.91,43,6,3.18,clear sky
339,Tanout,NE,14.97,8.89,65.46,18,4,10.25,clear sky
340,Esmeraldas,BR,-19.76,-44.31,75.51,85,12,4.21,few clouds
